"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Galarian Darmanitan - Zen Mode","Ice Fang","Avalanche","21.009","499","4626.6","3905"
"Mega Garchomp","Dragon Tail","Earthquake","20.947","962.6","8846.6","5424"
"Shadow Alakazam","Psycho Cut","Psychic","20.925","354.6","3248.8","3057"
"Mega Alakazam","Confusion","Return","20.924","534.9","4900.2","4366"
"Mewtwo","Confusion","Psystrike","20.918","654.9","5994.3","4178"
"Mega Mewtwo Y","Confusion","Flamethrower","20.898","792.8","7235.5","5610"
"Mewtwo","Psycho Cut","Psystrike","20.884","653.8","5955.4","4178"
"Shadow Dragonite","Dragon Tail","Outrage","20.854","575.4","5218.5","3792"
"Mega Blaziken","Fire Spin","Overheat","20.819","596.2","5379.8","4161"
"Mega Mewtwo X","Confusion","Thunderbolt","20.796","788.9","7095.3","5429"
"Mega Mewtwo X","Confusion","Hyper Beam","20.791","788.7","7088","5429"
"Mega Charizard Y","Air Slash","Blast Burn","20.761","723.1","6470.5","4455"
"Mega Charizard Y","Ember","Blast Burn","20.726","721.9","6427.6","4455"
"Mega Alakazam","Psycho Cut","Shadow Ball","20.718","529.6","4710.4","4366"
"Mega Blaziken","Counter","Brave Bird","20.67","591.9","5227.4","4161"
"Mega Alakazam","Psycho Cut","Future Sight","20.647","527.8","4645.6","4366"
"Mega Mewtwo Y","Confusion","Ice Beam","20.601","781.5","6831.9","5610"
"Mega Heracross","Counter","Megahorn","20.595","767.1","6700.8","4814"
"Shadow Salamence","Bite","Outrage","20.591","503.4","4394.8","3749"
"Mega Gardevoir","Confusion","Psychic","20.582","705.4","6150.5","4512"
"Mega Gallade","Confusion","Psychic","20.579","708.2","6171.6","4521"
"Mega Blaziken","Counter","Focus Blast","20.565","588.9","5121.9","4161"
"Shadow Moltres","Wing Attack","Sky Attack","20.564","517.4","4499.4","3465"
"Mega Alakazam","Counter","Shadow Ball","20.541","525.1","4551.4","4366"
"Shadow Mewtwo","Confusion","Thunderbolt","20.537","535.8","4641","4178"
"Mega Gengar","Sucker Punch","Sludge Bomb","20.526","570","4929.7","4336"
"Mega Garchomp","Mud Shot","Outrage","20.459","940.2","8051.6","5424"
"Shadow Alakazam","Counter","Psychic","20.446","346.5","2961.4","3057"
"Mega Metagross","Bullet Punch","Meteor Mash","20.414","971.2","8261.6","4911"
"Shadow Dragonite","Dragon Tail","Draco Meteor","20.404","563","4782","3792"
"Mega Banette","Hex","Shadow Ball","20.398","482.3","4093.5","3594"
"Galarian Darmanitan - Zen Mode","Tackle","Avalanche","20.365","483.7","4084.9","3905"
"Mega Mewtwo Y","Psycho Cut","Hyper Beam","20.356","772.2","6512.7","5610"
"Mega Mewtwo Y","Psycho Cut","Thunderbolt","20.325","771","6474.1","5610"
"Shadow Dragonite","Dragon Breath","Outrage","20.307","560.3","4692.3","3792"
"Shadow Electivire","Thunder Shock","Wild Charge","20.271","409","3406.4","3079"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","6026.4","4605"
"Mega Alakazam","Counter","Future Sight","20.244","517.5","4293.3","4366"
"Shadow Mewtwo","Confusion","Hyper Beam","20.244","528.2","4382","4178"
"Mega Mewtwo X","Confusion","Flamethrower","20.233","767.5","6357.6","5429"
"Mega Gardevoir","Charm","Psychic","20.218","692.9","5727","4512"
"Mega Sceptile","Fury Cutter","Leaf Blade","20.214","580","4790.3","4056"
"Mega Charizard Y","Fire Spin","Overheat","20.144","701.6","5734.9","4455"
"Mega Alakazam","Confusion","Dazzling Gleam","20.12","514.3","4189","4366"
"Mega Swampert","Water Gun","Hydro Cannon","20.118","858.8","6992.3","4401"
"Mega Gardevoir","Confusion","Dazzling Gleam","20.11","689.2","5605.2","4512"
"Mega Blaziken","Fire Spin","Brave Bird","20.102","575.7","4676.2","4161"
"Shadow Weavile","Snarl","Avalanche","20.089","404.1","3275.8","3005"
"Shadow Salamence","Fire Fang","Draco Meteor","20.069","490.6","3965.8","3749"
"Mega Gengar","Shadow Claw","Psychic","20.057","557","4494.2","4336"
"Mega Blaziken","Fire Spin","Focus Blast","20.051","574.2","4629.3","4161"
"Shadow Mewtwo","Confusion","Focus Blast","20.04","522.8","4207.8","4178"
"Mega Charizard Y","Dragon Breath","Blast Burn","20.033","697.7","5609.4","4455"
"Mega Mewtwo Y","Psycho Cut","Focus Blast","20.033","759.9","6109.7","5610"
"Deoxys (Attack Forme)","Zen Headbutt","Zap Cannon","20.005","128.7","1030.5","2580"
"Mega Swampert","Mud Shot","Hydro Cannon","19.994","853.5","6821.9","4401"
"Shadow Mewtwo","Confusion","Flamethrower","19.957","520.7","4138.5","4178"
"Mega Mewtwo X","Confusion","Ice Beam","19.944","756.5","6001.5","5429"
"Mega Rayquaza","Dragon Tail","Aerial Ace","19.906","731.3","5767.5","5055"
"Shadow Dragonite","Dragon Tail","Dragon Claw","19.882","548.6","4311.6","3792"
"Mega Gardevoir","Charm","Dazzling Gleam","19.833","679.7","5303.1","4512"
"Mega Alakazam","Confusion","Focus Blast","19.796","506.1","3925.7","4366"
"Primal Kyogre","Waterfall","Surf","19.789","803.7","6228.4","5227"
"Mega Salamence","Dragon Tail","Outrage","19.788","928.2","7191.4","5031"
"Mega Metagross","Zen Headbutt","Meteor Mash","19.774","940.7","7274.2","4911"
"Mega Gallade","Low Kick","Psychic","19.75","679.7","5236.1","4521"
"Mega Salamence","Dragon Tail","Draco Meteor","19.75","926.4","7136.2","5031"
"Mega Beedrill","Bug Bite","Sludge Bomb","19.732","437","3357.5","3383"
"Mega Heracross","Counter","Close Combat","19.732","734.9","5646.3","4814"
"Mega Mewtwo X","Psycho Cut","Hyper Beam","19.718","748","5734.6","5429"
"Mega Gardevoir","Confusion","Synchronoise","19.709","675.5","5171","4512"
"Mega Gallade","Confusion","Synchronoise","19.706","678.1","5188.9","4521"
"Mega Alakazam","Counter","Return","19.693","503.4","3845.2","4366"
"Mega Mewtwo X","Psycho Cut","Thunderbolt","19.687","746.8","5698.8","5429"
"Deoxys (Attack Forme)","Poison Jab","Zap Cannon","19.682","126.6","965.6","2580"
"Shadow Dragonite","Dragon Breath","Draco Meteor","19.669","542.7","4129.4","3792"
"Shadow Mewtwo","Confusion","Ice Beam","19.657","512.8","3895.3","4178"
"Shadow Alakazam","Confusion","Shadow Ball","19.654","333","2528.3","3057"
"Shadow Machamp","Counter","Dynamic Punch","19.65","439","3330.3","3056"
"Shadow Dragonite","Steel Wing","Outrage","19.614","541.2","4084","3792"
"Mega Alakazam","Psycho Cut","Return","19.61","501.3","3780.7","4366"
"Mega Beedrill","Poison Jab","Sludge Bomb","19.591","433.9","3262.6","3383"
"Shadow Metagross","Bullet Punch","Psychic","19.586","564.2","4239.4","3791"
"Mega Gengar","Lick","Psychic","19.552","543","4058.4","4336"
"Mega Mewtwo Y","Psycho Cut","Flamethrower","19.54","741.2","5530.2","5610"
"Shadow Mewtwo","Psycho Cut","Thunderbolt","19.538","509.7","3801.7","4178"
"Shadow Moltres","Fire Spin","Overheat","19.532","491.5","3662.5","3465"
"Black Kyurem","Dragon Tail","Blizzard","19.527","697.6","5194.2","4605"
"Mega Charizard Y","Wing Attack","Overheat","19.514","679.7","5050.5","4455"
"Shadow Raikou","Thunder Shock","Wild Charge","19.513","526.1","3908.3","3452"
"Mewtwo","Confusion","Psychic","19.487","610.1","4514.4","4178"
"Mega Gengar","Shadow Claw","Focus Blast","19.461","540.4","3983.1","4336"
"Deoxys (Attack Forme)","Zen Headbutt","Psycho Boost","19.456","125.2","922","2580"
"Mega Mewtwo Y","Psycho Cut","Ice Beam","19.453","737.9","5432.7","5610"
"Mega Gengar","Shadow Claw","Sludge Wave","19.451","540.2","3975.6","4336"
"Mega Gardevoir","Charm","Synchronoise","19.444","666.4","4898.5","4512"
"Mega Sceptile","Bullet Seed","Leaf Blade","19.431","557.5","4090","4056"
"Shadow Zapdos","Thunder Shock","Drill Peck","19.366","497.3","3611.4","3527"
"Deoxys (Attack Forme)","Poison Jab","Psycho Boost","19.334","124.4","899.2","2580"
"Shadow Weavile","Feint Attack","Avalanche","19.319","388.6","2802.2","3005"
"Shadow Machamp","Karate Chop","Dynamic Punch","19.314","431.5","3108.7","3056"
"Mega Alakazam","Counter","Dazzling Gleam","19.306","493.5","3551.5","4366"
"Galarian Darmanitan - Zen Mode","Ice Fang","Overheat","19.276","457.8","3278.8","3905"
"Shadow Salamence","Dragon Tail","Hydro Pump","19.267","471","3369","3749"
"Shadow Charizard","Fire Spin","Blast Burn","19.253","420.7","3002.5","2889"
"Mega Charizard Y","Fire Spin","Flamethrower","19.22","669.4","4752.6","4455"
"Mega Alakazam","Psycho Cut","Dazzling Gleam","19.218","491.3","3486.8","4366"
"Shadow Dragonite","Dragon Breath","Dragon Claw","19.21","530","3757.5","3792"
"Shadow Mewtwo","Psycho Cut","Hyper Beam","19.205","501","3549.1","4178"
"Mewtwo","Psycho Cut","Psychic","19.193","600.9","4248.4","4178"
"Primal Kyogre","Waterfall","Hydro Pump","19.192","779.4","5510.1","5227"
"Shadow Alakazam","Confusion","Future Sight","19.188","325.2","2297.3","3057"
"Shadow Raikou","Volt Switch","Wild Charge","19.185","517.2","3652.3","3452"
"Shadow Salamence","Bite","Draco Meteor","19.184","469","3311","3749"
"Shadow Metagross","Zen Headbutt","Psychic","19.175","552.4","3894.3","3791"
"Black Kyurem","Shadow Claw","Outrage","19.14","683.8","4794.2","4605"
"Mega Gardevoir","Confusion","Shadow Ball","19.14","656","4599.2","4512"
"Shadow Dragonite","Dragon Tail","Hurricane","19.106","527.2","3676.7","3792"
"Shadow Alakazam","Psycho Cut","Shadow Ball","19.104","323.7","2257.3","3057"
"Mega Beedrill","Infestation","Sludge Bomb","19.08","422.6","2935","3383"
"Shadow Entei","Fire Fang","Overheat","19.076","545.8","3789.2","3473"
"Shadow Weavile","Snarl","Foul Play","19.061","383.4","2655.1","3005"
"Mega Heracross","Counter","Earthquake","19.057","709.8","4912.8","4814"
"Shadow Zapdos","Thunder Shock","Thunderbolt","19.049","489.1","3381.2","3527"
"Shadow Dragonite","Dragon Tail","Dragon Pulse","19.042","525.4","3628","3792"
"Mega Garchomp","Mud Shot","Earthquake","19.037","874.8","6035.4","5424"
"Mega Lucario","Counter","Shadow Ball","18.978","514.7","3518.1","3826"
"Shadow Charizard","Wing Attack","Blast Burn","18.971","414.6","2830.5","2889"
"Mega Gardevoir","Charm","Shadow Ball","18.958","649.7","4426.9","4512"
"Shadow Exeggutor","Confusion","Psychic","18.949","415.1","2824.6","3014"
"Galarian Darmanitan - Zen Mode","Tackle","Overheat","18.942","449.9","3057.8","3905"
"Shadow Alakazam","Counter","Shadow Ball","18.942","321","2181.5","3057"
"Shadow Magnezone","Spark","Wild Charge","18.939","450.6","3060.9","3205"
"Mega Mewtwo X","Psycho Cut","Flamethrower","18.929","718","4869.7","5429"
"Shadow Moltres","Wing Attack","Overheat","18.926","476.2","3228.3","3465"
"Shadow Swampert","Water Gun","Hydro Cannon","18.92","498.9","3379.3","2974"
"Mega Charizard Y","Air Slash","Overheat","18.917","658.9","4460.7","4455"
"Shadow Mewtwo","Psycho Cut","Focus Blast","18.913","493.4","3338.1","4178"
"Shadow Electivire","Low Kick","Wild Charge","18.895","381.2","2571.7","3079"
"Mega Gardevoir","Charge Beam","Psychic","18.845","645.8","4322","4512"
"Mega Mewtwo X","Psycho Cut","Ice Beam","18.841","714.7","4780.5","5429"
"Shadow Exeggutor","Extrasensory","Psychic","18.838","412.7","2759.3","3014"
"Shadow Banette","Shadow Claw","Shadow Ball","18.835","271.8","1816.5","2298"
"Mega Charizard X","Fire Spin","Blast Burn","18.807","657.9","4376.4","3850"
"Mega Gallade","Low Kick","Synchronoise","18.805","647.1","4303.3","4521"
"Mega Salamence","Fire Fang","Outrage","18.805","882.1","5865.5","5031"
"White Kyurem","Dragon Breath","Blizzard","18.793","671.4","4456.5","4605"
"Shadow Swampert","Mud Shot","Hydro Cannon","18.788","495.5","3286.1","2974"
"Mega Gengar","Lick","Focus Blast","18.78","521.5","3454.4","4336"
"Shadow Zapdos","Charge Beam","Drill Peck","18.771","482","3188","3527"
"Shadow Mewtwo","Psycho Cut","Flamethrower","18.767","489.6","3236.5","4178"
"Mega Alakazam","Counter","Focus Blast","18.763","479.6","3168.1","4366"
"Mega Rayquaza","Air Slash","Aerial Ace","18.756","689","4546","5055"
"Mega Gengar","Lick","Sludge Wave","18.755","520.9","3436.1","4336"
"Mega Gallade","Charm","Psychic","18.732","644.6","4237","4521"
"Mega Absol","Snarl","Return","18.723","368.9","2421.1","3301"
"Mega Charizard Y","Ember","Overheat","18.714","651.8","4272","4455"
"Shadow Cacturne","Sucker Punch","Grass Knot","18.711","263.1","1723.3","2298"
"Mega Blastoise","Water Gun","Hydro Cannon","18.695","730.1","4770.1","3941"
"Shadow Gallade","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Shadow Gardevoir","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","3564.4","3835"
"Shadow Mewtwo","Psycho Cut","Ice Beam","18.675","487.2","3173.4","4178"
"Mega Gengar","Shadow Claw","Shadow Punch","18.662","518.3","3368.7","4336"
"Mega Alakazam","Confusion","Fire Punch","18.654","476.9","3095.4","4366"
"Mega Gardevoir","Confusion","Return","18.652","639.3","4148.3","4512"
"Mega Gallade","Confusion","Return","18.649","641.8","4162.5","4521"
"Mega Alakazam","Psycho Cut","Focus Blast","18.646","476.7","3090.2","4366"
"Shadow Entei","Fire Spin","Overheat","18.644","533.4","3456.9","3473"
"Shadow Alakazam","Psycho Cut","Future Sight","18.632","315.7","2042.3","3057"
"Lucario","Counter","Aura Sphere","18.621","384.2","2480.6","2703"
"Mega Absol","Snarl","Dark Pulse","18.617","366.8","2366.9","3301"
"Mega Pidgeot","Gust","Brave Bird","18.617","567","3658.6","3680"
"Shadow Dragonite","Steel Wing","Draco Meteor","18.61","513.5","3309.5","3792"
"Shadow Weavile","Ice Shard","Avalanche","18.602","374.2","2408.3","3005"
"Mega Garchomp","Dragon Tail","Fire Blast","18.6","854.7","5499.7","5424"
"Mega Manectric","Snarl","Wild Charge","18.593","514.9","3309.5","3580"
"Mega Gengar","Hex","Psychic","18.59","516.3","3316.6","4336"
"Mega Charizard Y","Fire Spin","Return","18.58","647.2","4151.3","4455"
"Primal Groudon","Dragon Tail","Earthquake","18.564","753.9","4823.3","5227"
"Mega Charizard Y","Fire Spin","Fire Blast","18.544","645.9","4118.7","4455"
"Mega Banette","Shadow Claw","Return","18.539","438.3","2792.8","3594"
"Shadow Dragonite","Dragon Tail","Hyper Beam","18.517","510.9","3244","3792"
"Deoxys (Normal Forme)","Zen Headbutt","Thunderbolt","18.515","253.9","1611.6","3160"
"Mega Gardevoir","Charm","Return","18.502","634.1","4016","4512"
"Shadow Salamence","Dragon Tail","Fire Blast","18.496","452.2","2861","3749"
"Mega Houndoom","Fire Fang","Foul Play","18.487","578.1","3652.3","3842"
"Primal Groudon","Mud Shot","Earthquake","18.485","750.7","4741.2","5227"
"Mega Gardevoir","Charge Beam","Dazzling Gleam","18.48","633.4","3997.2","4512"
"Shadow Dragonite","Dragon Breath","Dragon Pulse","18.468","509.6","3209.7","3792"
"Mega Gallade","Confusion","Leaf Blade","18.463","635.4","3999.1","4521"
"Shadow Charizard","Air Slash","Blast Burn","18.445","403.1","2529.6","2889"
"Mega Charizard Y","Wing Attack","Flamethrower","18.437","642.2","4024.5","4455"
"Shadow Dragonite","Steel Wing","Dragon Claw","18.427","508.4","3181.2","3792"
"Mega Metagross","Bullet Punch","Psychic","18.426","876.6","5484.1","4911"
"Shadow Charizard","Ember","Blast Burn","18.422","402.6","2517.1","2889"
"Rampardos","Smack Down","Rock Slide","18.413","370.8","2314.5","3298"
"Shadow Alakazam","Confusion","Dazzling Gleam","18.397","311.7","1941","3057"
"Shadow Gardevoir","Charm","Psychic","18.397","411.1","2559.9","3093"
"Mega Lucario","Counter","Close Combat","18.392","498.8","3103.5","3826"
"Mega Salamence","Fire Fang","Draco Meteor","18.389","862.5","5363.2","5031"
"Shadow Magnezone","Charge Beam","Wild Charge","18.385","437.4","2718.1","3205"
"Chandelure","Fire Spin","Shadow Ball","18.372","427","2647.6","3268"
"Mega Charizard X","Dragon Breath","Blast Burn","18.365","642.5","3979.3","3850"
"Mega Houndoom","Snarl","Foul Play","18.364","574.3","3556.6","3842"
"Mega Gengar","Shadow Claw","Dark Pulse","18.363","510","3157.9","4336"
"Mega Salamence","Dragon Tail","Return","18.358","861.1","5327.7","5031"
"Mega Pidgeot","Wing Attack","Brave Bird","18.331","558.3","3438.8","3680"
"Shadow Zapdos","Charge Beam","Thunderbolt","18.328","470.6","2897.4","3527"
"Mega Gallade","Confusion","Close Combat","18.317","630.3","3874","4521"
"Shadow Dragonite","Dragon Breath","Hurricane","18.315","505.4","3104.9","3792"
"Shadow Entei","Fire Fang","Flamethrower","18.293","523.4","3204.3","3473"
"Shadow Weavile","Feint Attack","Foul Play","18.289","367.9","2250.3","3005"
"Shadow Alakazam","Counter","Future Sight","18.282","309.8","1893","3057"
"Mega Sceptile","Fury Cutter","Dragon Claw","18.276","524.4","3201.2","4056"
"Salamence","Dragon Tail","Outrage","18.271","536","3269.2","3749"
"Mega Blaziken","Counter","Stone Edge","18.264","523","3186.5","4161"
"Shadow Gardevoir","Confusion","Dazzling Gleam","18.237","407.5","2471.9","3093"
"Shadow Porygon-Z","Lock-On","Tri-Attack","18.235","370.6","2247.1","3266"
"Shadow Porygon-Z","Lock-On","Hyper Beam","18.217","370.3","2238.3","3266"
"Shadow Exeggutor","Zen Headbutt","Psychic","18.216","399.1","2412.2","3014"
"Shadow Exeggutor","Confusion","Solar Beam","18.212","399","2409.9","3014"
"Mega Gengar","Sucker Punch","Psychic","18.172","504.7","3028.5","4336"
"Mega Charizard Y","Air Slash","Flamethrower","18.168","632.8","3795.1","4455"
"Shadow Banette","Hex","Shadow Ball","18.164","262.2","1571","2298"
"Shadow Raikou","Thunder Shock","Thunderbolt","18.152","489.4","2927.1","3452"
"Mega Charizard Y","Dragon Breath","Overheat","18.138","631.8","3769.8","4455"
"Shadow Absol","Snarl","Dark Pulse","18.135","252","1502.9","2526"
"Shadow Exeggutor","Extrasensory","Solar Beam","18.135","397.3","2369.6","3014"
"Mega Salamence","Bite","Outrage","18.131","850.5","5069","5031"
"Gengar","Lick","Shadow Ball","18.109","350.4","2080.9","2878"
"Honchkrow","Snarl","Sky Attack","18.098","355.7","2108.5","2711"
"Galarian Darmanitan - Zen Mode","Ice Fang","Ice Punch","18.076","429.3","2535.8","3905"
"Reshiram","Fire Fang","Overheat","18.075","623.7","3683","4038"
"Shadow Houndoom","Fire Fang","Foul Play","18.075","325.8","1923.8","2635"
"Mega Lucario","Counter","Power-Up Punch","18.073","490.2","2893.5","3826"
"Mewtwo","Confusion","Shadow Ball","18.068","565.7","3336.3","4178"
"Shadow Gallade","Low Kick","Psychic","18.062","403.6","2378.3","3093"
"Primal Kyogre","Waterfall","Blizzard","18.06","733.4","4320.3","5227"
"Mega Manectric","Charge Beam","Wild Charge","18.05","499.9","2939.8","3580"
"Gengar","Shadow Claw","Shadow Ball","18.033","348.9","2046","2878"
"Lucario","Bullet Punch","Aura Sphere","18.029","372","2179.9","2703"
"Shadow Gardevoir","Charm","Dazzling Gleam","18.027","402.8","2359.8","3093"
"Mega Metagross","Zen Headbutt","Psychic","18.01","856.8","5005.6","4911"
"Shadow Sharpedo","Bite","Hydro Pump","18.001","190.8","1112.7","2181"
"Shadow Machamp","Bullet Punch","Dynamic Punch","17.996","402","2343.1","3056"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","3615.5","3791"
"Zekrom","Dragon Breath","Wild Charge","17.975","620.2","3601.8","4038"
"Regigigas","Zen Headbutt","Giga Impact","17.964","659.2","3821","4337"
"Mega Houndoom","Fire Fang","Flamethrower","17.958","561.6","3252.2","3842"
"Shadow Charizard","Dragon Breath","Blast Burn","17.954","392.4","2270.7","2889"
"White Kyurem","Dragon Breath","Dragon Pulse","17.949","641.2","3708.1","4605"
"Shadow Sharpedo","Bite","Crunch","17.945","190.2","1099.1","2181"
"Shadow Entei","Fire Spin","Flamethrower","17.936","513.2","2961.4","3473"
"Salamence","Dragon Tail","Draco Meteor","17.931","526","3032.4","3749"
"Primal Groudon","Dragon Tail","Fire Punch","17.925","728","4192.9","5227"
"Shadow Moltres","Fire Spin","Fire Blast","17.924","451","2597.3","3465"
"Reshiram","Fire Fang","Draco Meteor","17.923","618.4","3560.5","4038"
"Mega Heracross","Struggle Bug","Megahorn","17.922","667.5","3842.8","4814"
"Shadow Houndoom","Snarl","Foul Play","17.921","323","1858.8","2635"
"Mega Gallade","Charm","Synchronoise","17.918","616.6","3547.4","4521"
"Mega Charizard X","Ember","Blast Burn","17.914","626.7","3602.8","3850"
"Palkia","Dragon Tail","Draco Meteor","17.91","583.2","3350.3","3991"
"Shadow Cacturne","Poison Jab","Grass Knot","17.877","251.3","1436","2298"
"Shadow Sharpedo","Waterfall","Crunch","17.874","189.4","1081.6","2181"
"Shadow Venusaur","Vine Whip","Frenzy Plant","17.869","432.2","2465.8","2720"
"Chandelure","Incinerate","Shadow Ball","17.866","415.2","2367.8","3268"
"Shadow Gallade","Confusion","Synchronoise","17.864","399.2","2275.6","3093"
"Shadow Gardevoir","Confusion","Synchronoise","17.864","399.2","2275.6","3093"
"Mega Alakazam","Counter","Fire Punch","17.862","456.6","2602.1","4366"
"Shadow Zapdos","Thunder Shock","Zap Cannon","17.861","458.6","2612.9","3527"
"Primal Groudon","Dragon Tail","Fire Blast","17.86","725.3","4132.1","5227"
"Mega Lucario","Bullet Punch","Shadow Ball","17.856","484.3","2757.2","3826"
"Mega Gengar","Lick","Shadow Punch","17.853","495.8","2821","4336"
"Shadow Raikou","Volt Switch","Thunderbolt","17.852","481.3","2738.6","3452"
"Black Kyurem","Shadow Claw","Blizzard","17.844","637.5","3622","4605"
"Mega Beedrill","Poison Jab","Return","17.844","395.2","2245.4","3383"
"Mega Charizard Y","Ember","Flamethrower","17.839","621.3","3527.1","4455"
"Mega Beedrill","Poison Jab","X-Scissor","17.814","394.5","2230.3","3383"
"Chandelure","Hex","Shadow Ball","17.813","414","2339.9","3268"
"Rayquaza","Air Slash","Outrage","17.809","521.3","2944.2","3835"
"Mega Lucario","Counter","Flash Cannon","17.807","483","2726.8","3826"
"Shadow Dragonite","Steel Wing","Dragon Pulse","17.8","491.2","2770.2","3792"
"Shadow Exeggutor","Bullet Seed","Psychic","17.798","389.9","2198.4","3014"
"Mega Aerodactyl","Rock Throw","Rock Slide","17.782","626.1","3520.7","4118"
"Primal Groudon","Dragon Tail","Solar Beam","17.78","722.1","4058.4","5227"
"Shadow Magmortar","Fire Spin","Fire Punch","17.771","376.7","2113.9","3132"
